"principal_component_0","principal_component_1","action","effect_X","effect_Y"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","NM","LN"
"VH","L","tap_from_right","NM","LP"
"VH","L","pull","NM","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","NM","LN"
"VH","L","tap_from_right","NM","LP"
"VH","L","pull","NM","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","NM","LN"
"VH","L","tap_from_right","NM","LP"
"VH","L","pull","NM","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","NM","LN"
"VH","L","tap_from_right","NM","LP"
"VH","L","pull","NM","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","NM","LN"
"VH","L","tap_from_right","NM","LP"
"VH","L","pull","NM","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","NM","LN"
"VH","L","tap_from_right","NM","LP"
"VH","L","pull","NM","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","NM","LN"
"VH","L","tap_from_right","NM","LP"
"VH","L","pull","NM","NM"
"VH","L","push","LP","NM"
"VH","L","tap_from_left","NM","LN"
"VH","L","tap_from_right","NM","LP"
"VH","L","pull","NM","NM"
"VL","VH","push","VP","NM"
"VL","VH","tap_from_left","NM","VN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","VP","NM"
"VL","VH","tap_from_left","NM","VN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","VP","NM"
"VL","VH","tap_from_left","NM","VN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","VP","NM"
"VL","VH","tap_from_left","NM","VN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","VP","NM"
"VL","VH","tap_from_left","NM","VN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","VP","NM"
"VL","VH","tap_from_left","NM","VN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","VP","NM"
"VL","VH","tap_from_left","NM","VN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","VP","NM"
"VL","VH","tap_from_left","NM","VN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","NM","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
