"tool_cubeness","tool_symmetry","tool_convexity","tool_eccentricity","obj_sphereness","obj_cubeness","obj_symmetry","obj_eccentricity","action","effect_X","effect_Y"
"L","ML","L","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","ML","L","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","ML","L","ML","MH","H","H","H","pull","NM","NM"
"L","ML","L","ML","MH","H","H","H","push","LP","NM"
"L","ML","L","ML","MH","H","H","H","tap_from_left","NM","LN"
"L","ML","L","ML","MH","H","H","H","tap_from_right","NM","LP"
"L","ML","L","ML","MH","H","H","H","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","MH","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_left","NM","VN"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","MH","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","MH","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_left","NM","VN"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","MH","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","MH","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_left","NM","VN"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","MH","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","MH","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_left","NM","VN"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","MH","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","MH","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_left","NM","VN"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","MH","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","MH","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_left","NM","VN"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","MH","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","MH","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_left","NM","VN"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_right","NM","LP"
"MH","MH","MH","L","H","MH","MH","MH","pull","NM","NM"
"MH","MH","MH","L","H","MH","MH","MH","push","VP","NM"
"MH","MH","MH","L","H","MH","MH","MH","tap_from_left","NM","VN"
