"principal_component_0","principal_component_1","action","effect_X","effect_Y"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"ML","L","push","LP","NM"
"ML","L","tap_from_left","NM","LN"
"ML","L","tap_from_right","VP","NM"
"ML","L","pull","LN","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","NM","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","NM","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","NM","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","NM","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","NM","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","NM","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","NM","NM"
"VL","L","push","LP","NM"
"VL","L","tap_from_left","NM","LN"
"VL","L","tap_from_right","NM","LP"
"VL","L","pull","NM","NM"
"VH","VH","push","VP","NM"
"VH","VH","tap_from_left","NM","VN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","VP","NM"
"VH","VH","tap_from_left","NM","VN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","VP","NM"
"VH","VH","tap_from_left","NM","VN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","VP","NM"
"VH","VH","tap_from_left","NM","VN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","VP","NM"
"VH","VH","tap_from_left","NM","VN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","VP","NM"
"VH","VH","tap_from_left","NM","VN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","VP","NM"
"VH","VH","tap_from_left","NM","VN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"VH","VH","push","VP","NM"
"VH","VH","tap_from_left","NM","VN"
"VH","VH","tap_from_right","NM","LP"
"VH","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","NM","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"ML","VH","push","VP","NM"
"ML","VH","tap_from_left","LP","LN"
"ML","VH","tap_from_right","NM","LP"
"ML","VH","pull","NM","NM"
"VL","VH","push","LP","NM"
"VL","VH","tap_from_left","NM","LN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","LP","NM"
"VL","VH","tap_from_left","NM","LN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","LP","NM"
"VL","VH","tap_from_left","NM","LN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","LP","NM"
"VL","VH","tap_from_left","NM","LN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","LP","NM"
"VL","VH","tap_from_left","NM","LN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","LP","NM"
"VL","VH","tap_from_left","NM","LN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","LP","NM"
"VL","VH","tap_from_left","NM","LN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
"VL","VH","push","LP","NM"
"VL","VH","tap_from_left","NM","LN"
"VL","VH","tap_from_right","NM","LP"
"VL","VH","pull","NM","NM"
